termCode,termExtendedName,termShortName,scientific_name_clean,scope_note_clean,allFacets,nlp_text,nlp_word_count,common_names
A00RX,Cardoons,,Cynara cardunculus L. Cardoon group,"Stem/stalk from the plant classified under the species Cynara cardunculus L. Cardoon group, commonly known as Cardoons. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00RX#F01.A05LD$F02.A0ELG$F27.A00RX$F33.A0C51,"Cardoons. Cynara cardunculus L. Cardoon group. Stem/stalk from the plant classified under the species Cynara cardunculus L. Cardoon group, commonly known as Cardoons. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",64,
A00RY,Celeries,,Apium graveolens L. var. dulce (Mill.) Pers.,"Stem/stalk from the plant classified under the species Apium graveolens L. var. dulce (Mill.) Pers., commonly known as Celeries. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00RY#F01.A05LE$F02.A0ELG$F27.A00RY$F33.A0C51,"Celeries. Apium graveolens L. var. dulce (Mill.) Pers. Stem/stalk from the plant classified under the species Apium graveolens L. var. dulce (Mill.) Pers., commonly known as Celeries. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",68,
A00RZ,Celtuce,,Lactuca sativa var. angustana L.H. Bailey,"Stem/stalk from the plant classified under the species Lactuca sativa var. angustana L.H. Bailey, commonly known as Celtuce. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00RZ#F01.A05LF$F02.A0ELG$F27.A00RZ$F33.A0C51,"Celtuce. Lactuca sativa var. angustana L.H. Bailey. Stem/stalk from the plant classified under the species Lactuca sativa var. angustana L.H. Bailey, commonly known as Celtuce. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",66,
A00SA,Florence fennels,,Foeniculum vulgare Mill. var. azoricum,"Stem/stalk from the plant classified under the species Foeniculum vulgare Mill. var. azoricum, commonly known as Florence fennels or Carosella or Fennel Italian or Fennel Roman or Fennel sweet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SA#F01.A05NR$F02.A0ELG$F27.A00SA$F33.A0C51,"Florence fennels. Carosella. Fennel Italian. Fennel Roman. Fennel sweet. Foeniculum vulgare Mill. var. azoricum. Stem/stalk from the plant classified under the species Foeniculum vulgare Mill. var. azoricum, commonly known as Florence fennels or Carosella or Fennel Italian or Fennel Roman or Fennel sweet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",84,Carosella | Fennel Italian | Fennel Roman | Fennel sweet
A00SB,Leeks,,Allium ampeloprasum ampeloprasum Leek Group$Allium porrum L.,"Stem/stalk from the plant classified under the species Allium ampeloprasum ampeloprasum Leek Group or Allium porrum L., commonly known as Leeks. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SB#F01.A05LH$F02.A0ELG$F27.A00SB$F33.A0C51,"Leeks. Allium ampeloprasum ampeloprasum Leek Group$Allium porrum L. Stem/stalk from the plant classified under the species Allium ampeloprasum ampeloprasum Leek Group or Allium porrum L., commonly known as Leeks. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",70,
A00SC,Palm hearts,,Euterpe oleracea Mart.$Cocos nucifera L.$Bactris gasipaes Kunth$Daemonorops schmidtiana Becc.$Raphia spp.$Borassus aetiopicum Mart.$Salacca zalacca (Geartn.) Voss,"Stem/stalk from the plant classified under the species Euterpe oleracea Mart. or Cocos nucifera L. or Bactris gasipaes Kunth or Daemonorops schmidtiana Becc. or Raphia spp. or Borassus aetiopicum Mart. or Salacca zalacca (Geartn.) Voss, commonly known as Palm hearts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SC#F01.A058Y$F02.A0ELG$F27.A00SC$F33.A0C51,"Palm hearts. Euterpe oleracea Mart.$Cocos nucifera L.$Bactris gasipaes Kunth$Daemonorops schmidtiana Becc.$Raphia spp.$Borassus aetiopicum Mart.$Salacca zalacca (Geartn.) Voss. Stem/stalk from the plant classified under the species Euterpe oleracea Mart. or Cocos nucifera L. or Bactris gasipaes Kunth or Daemonorops schmidtiana Becc. or Raphia spp. or Borassus aetiopicum Mart. or Salacca zalacca (Geartn.) Voss, commonly known as Palm hearts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",98,
A00SD,Rhubarbs,,Rheum rhabarbarum L.$Rheum x hybridum Murray,"Stem/stalk from the plant classified under the species Rheum rhabarbarum L. or Rheum x hybridum Murray, commonly known as Rhubarbs. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SD#F01.A05LK$F02.A0ELG$F27.A00SD$F33.A0C51,"Rhubarbs. Rheum rhabarbarum L.$Rheum x hybridum Murray. Stem/stalk from the plant classified under the species Rheum rhabarbarum L. or Rheum x hybridum Murray, commonly known as Rhubarbs. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",68,
A00SE,Other Stem vegetables,,,"Collective generic group referring to the pesticide grouping in EU pesticide regulation; it includes Other Stem vegetables, not mentioned elsewhere in the regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SE#F01.A05LF$F02.A0ELG$F27.A00SE$F33.A0C51,"Other Stem vegetables. Collective generic group referring to the pesticide grouping in EU pesticide regulation; it includes Other Stem vegetables, not mentioned elsewhere in the regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",67,
A00SF,"Sprouts, shoots and similar",,,"The group includes any type of sprouts, shoots and similar used as source of food, mainly as side dishes or ingredients in aggregated dishes. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SF#F01.A058Y$F02.A067R$F27.A00SF$F33.A0C51,"Sprouts, shoots and similar. Cresses and other sprouts and shoots and similar-. The group includes any type of sprouts, shoots and similar used as source of food, mainly as side dishes or ingredients in aggregated dishes. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",77,Cresses and other sprouts and shoots and similar-
A00SG,Adzuki bean sprouts,,Vigna angularis,"Sprouts from the plant classified under the species Vigna angularis, commonly known as Adzuki bean sprouts or Azuki bean sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SG#F01.A05GS$F02.A067R$F27.A00SG$F33.A0C51,"Adzuki bean sprouts. Azuki bean sprouts. Vigna angularis. Sprouts from the plant classified under the species Vigna angularis, commonly known as Adzuki bean sprouts or Azuki bean sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",69,Azuki bean sprouts
A00SH,Alfalfa sprouts,,Medicago sativa subsp. sativa L.,"Sprouts from the plant classified under the species Medicago sativa subsp. sativa L., commonly known as Alfalfa sprouts or Lucerne sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SH#F01.A05LM$F02.A067R$F27.A00SH$F33.A0C51,"Alfalfa sprouts. Lucerne sprouts. Medicago sativa subsp. sativa L. Sprouts from the plant classified under the species Medicago sativa subsp. sativa L., commonly known as Alfalfa sprouts or Lucerne sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",71,Lucerne sprouts
A00SJ,Barley sprouts,,Hordeum vulgare L.,"Sprouts from the plant classified under the species Hordeum vulgare L., commonly known as Barley sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SJ#F01.A059D$F02.A067R$F27.A00SJ$F33.A0C51,"Barley sprouts. Hordeum vulgare L. Sprouts from the plant classified under the species Hordeum vulgare L., commonly known as Barley sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",62,
A00SK,Common bean sprouts,,Phaseolus vulgaris L.,"Sprouts from the plant classified under the species Phaseolus vulgaris L., commonly known as Common bean sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SK#F01.A05GX$F02.A067R$F27.A00SK$F33.A0C51,"Common bean sprouts. Phaseolus vulgaris L. Sprouts from the plant classified under the species Phaseolus vulgaris L., commonly known as Common bean sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",64,
A00SL,Chickpea sprouts,,Cicer arietinum L.,"Sprouts from the plant classified under the species Cicer arietinum L., commonly known as Chickpea sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SL#F01.A05HR$F02.A067R$F27.A00SL$F33.A0C51,"Chickpea sprouts. Cicer arietinum L. Sprouts from the plant classified under the species Cicer arietinum L., commonly known as Chickpea sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",62,
A00SM,Garden cress sprouts,,Lepidium sativum L.,"Sprouts from the plant classified under the species Lepidium sativum L., commonly known as Garden cress sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SM#F01.A05ER$F02.A067R$F27.A00SM$F33.A0C51,"Garden cress sprouts. Lepidium sativum L. Sprouts from the plant classified under the species Lepidium sativum L., commonly known as Garden cress sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",64,
A00SN,Fenugreek sprouts,,Trigonella foenum-graecum L.,"Sprouts from the plant classified under the species Trigonella foenum-graecum L., commonly known as Fenugreek sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SN#F01.A05TF$F02.A067R$F27.A00SN$F33.A0C51,"Fenugreek sprouts. Trigonella foenum-graecum L. Sprouts from the plant classified under the species Trigonella foenum-graecum L., commonly known as Fenugreek sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",62,
A00SP,Lentil sprouts,,Lens culinaris Medik,"Sprouts from the plant classified under the species Lens culinaris Medik, commonly known as Lentil sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SP#F01.A05HV$F02.A067R$F27.A00SP$F33.A0C51,"Lentil sprouts. Lens culinaris Medik. Sprouts from the plant classified under the species Lens culinaris Medik, commonly known as Lentil sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",62,
A00SQ,Millet sprouts,,,"Sprouts from the plant commonly known as Millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SQ#F01.A059J$F02.A067R$F27.A00SQ$F33.A0C51,"Millet sprouts. Sprouts from the plant commonly known as Millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",51,
A00SR,Mung bean sprouts,,Vigna radiata (L.) R. Wilczek var. radiata,"Sprouts from the plant classified under the species Vigna radiata (L.) R. Wilczek var. radiata, commonly known as Mung bean sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SR#F01.A05HD$F02.A067R$F27.A00SR$F33.A0C51,"Mung bean sprouts. Vigna radiata (L.) R. Wilczek var. radiata. Sprouts from the plant classified under the species Vigna radiata (L.) R. Wilczek var. radiata, commonly known as Mung bean sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",72,
A00SS,Mustard sprouts,,Brassica nigra L.$Sinapis alba L.,"Sprouts from the plant classified under the species Brassica nigra L. or Sinapis alba L., commonly known as Mustard sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SS#F01.A05SB$F02.A067R$F27.A00SS$F33.A0C51,"Mustard sprouts. Brassica nigra L.$Sinapis alba L. Sprouts from the plant classified under the species Brassica nigra L. or Sinapis alba L., commonly known as Mustard sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",68,
A00ST,Peas shoots and sprouts,,Pisum sativum L.,"Sprouts from the plant classified under the species Pisum sativum L., commonly known as Peas shoots and sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00ST#F01.A05HP$F02.A067R$F27.A00ST$F33.A0C51,"Peas shoots and sprouts. Pisum sativum L. Sprouts from the plant classified under the species Pisum sativum L., commonly known as Peas shoots and sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",66,
A00SV,Radish sprouts,,,"Sprouts from the plant commonly known as Radish. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SV#F01.A05FD$F02.A067R$F27.A00SV$F33.A0C51,"Radish sprouts. Sprouts from the plant commonly known as Radish. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",51,
A00SX,Rice sprouts,,Oryza sativa L.,"Sprouts from the plant classified under the species Oryza sativa L., commonly known as Rice sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SX#F01.A059Y$F02.A067R$F27.A00SX$F33.A0C51,"Rice sprouts. Oryza sativa L. Sprouts from the plant classified under the species Oryza sativa L., commonly known as Rice sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",62,
A00SY,Soyabeans sprouts,,Glycine max (L.) Merr.,"Sprouts from the plant classified under the species Glycine max (L.) Merr., commonly known as Soyabeans sprouts or Edamame. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SY#F01.A05HX$F02.A067R$F27.A00SY$F33.A0C51,"Soyabeans sprouts. Edamame. Glycine max (L.) Merr. Sprouts from the plant classified under the species Glycine max (L.) Merr., commonly known as Soyabeans sprouts or Edamame. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",67,Edamame
A00SZ,Sunflower shoots and sprouts,,Helianthus annuus L.,"Sprouts from the plant classified under the species Helianthus annuus L., commonly known as Sunflower shoots and sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00SZ#F01.A05RZ$F02.A067R$F27.A00SZ$F33.A0C51,"Sunflower shoots and sprouts. Helianthus annuus L. Sprouts from the plant classified under the species Helianthus annuus L., commonly known as Sunflower shoots and sprouts. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",66,
A00TA,Wheatgrass,,Triticum aestivum L.,"Sprouts from the plant classified under the species Triticum aestivum L., commonly known as Wheatgrass or Wheat shoots. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TA#F01.A05AG$F02.A067R$F27.A00TA$F33.A0C51,"Wheatgrass. Wheat shoots. Triticum aestivum L. Sprouts from the plant classified under the species Triticum aestivum L., commonly known as Wheatgrass or Wheat shoots. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",65,Wheat shoots
A00TB,Other species used for the production of sprouts or shoots,,,"Collective generic group referring to the pesticide grouping in EU pesticide regulation; it includes Other species used for the production of sprouts or shoots, not mentioned elsewhere in the regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TB#F01.A058Y$F02.A067R$F27.A00TB,"Other species used for the production of sprouts or shoots. Collective generic group referring to the pesticide grouping in EU pesticide regulation; it includes Other species used for the production of sprouts or shoots, not mentioned elsewhere in the regulation. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",81,
A00TD,Wild fungi and similar-,,,"The group includes Wild fungi or similar vegetables sharing the same pesticide MRL, as defined by EU pesticide regulation.",A00TD#F01.A05LP$F02.A067H$F27.A00TD$F33.A0C51,"Wild fungi and similar-. The group includes Wild fungi or similar vegetables sharing the same pesticide MRL, as defined by EU pesticide regulation.",23,
A00TE,Chanterelles,,Cantharellus Adans. ex Fr. spp.,"Fungi classified under the genus Cantharellus Adans. ex Fr. spp., commonly known as Chanterelles. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TE#F01.A05LQ$F02.A067H$F27.A00TE$F33.A0C51,"Chanterelles. Cantharellus Adans. ex Fr. spp. Fungi classified under the genus Cantharellus Adans. ex Fr. spp., commonly known as Chanterelles. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",61,
A00TF,Field mushroom,,Agaricus campestris L.,"Fungi classified under the species Agaricus campestris L., commonly known as Field mushroom or Meadow Mushroom. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TF#F01.A05LR$F02.A067H$F27.A00TF$F33.A0C51,"Field mushroom. Meadow Mushroom. Agaricus campestris L. Fungi classified under the species Agaricus campestris L., commonly known as Field mushroom or Meadow Mushroom. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",64,Meadow Mushroom
A00TG,Ceps,,Boletus edulis Bull.,"Fungi classified under the species Boletus edulis Bull., commonly known as Ceps or Porcino mushrooms or Boletes or Porcini. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TG#F01.A05LS$F02.A067H$F27.A00TG$F33.A0C51,"Ceps. Porcino mushrooms. Boletes. Porcini. Boletus edulis Bull. Fungi classified under the species Boletus edulis Bull., commonly known as Ceps or Porcino mushrooms or Boletes or Porcini. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",68,Porcino mushrooms | Boletes | Porcini
A00TH,Saffron milk cap,,Lactarius deliciosus (L. ex Fr.) S.F. Gray,"Fungi classified under the species Lactarius deliciosus (L. ex Fr.) S.F. Gray, commonly known as Saffron milk cap or Orange agaric or red pine mishroom. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TH#F01.A05LT$F02.A067H$F27.A00TH$F33.A0C51,"Saffron milk cap. Orange agaric. red pine mishroom. Lactarius deliciosus (L. ex Fr.) S.F. Gray. Fungi classified under the species Lactarius deliciosus (L. ex Fr.) S.F. Gray, commonly known as Saffron milk cap or Orange agaric or red pine mishroom. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",81,Orange agaric | red pine mishroom
A00TJ,Truffles,,Tuber spp.,"Underground fruiting body of fungi classified under the genus Tuber spp., commonly known as Truffles or Summer truffle. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TJ#F01.A05LV$F02.A067H$F27.A00TJ$F33.A0C51,"Truffles. Summer truffle. Tuber spp. Underground fruiting body of fungi classified under the genus Tuber spp., commonly known as Truffles or Summer truffle. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",64,Summer truffle
A00TK,Morels,,Morchella spp.$Morchella esculenta( L.) Pers,"Fungi classified under the genus Morchella spp., including the species Morchella esculenta( L.) Pers, commonly known as Morels. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TK#F01.A05LX$F02.A067H$F27.A00TK$F33.A0C51,"Morels. Morchella spp.$Morchella esculenta( L.) Pers. Fungi classified under the genus Morchella spp., including the species Morchella esculenta( L.) Pers, commonly known as Morels. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",65,
A00TL,Honey mushroom,,Armillaria mellea (Fr.) Staude,"Fungi classified under the species Armillaria mellea (Fr.) Staude, commonly known as Honey mushroom or Honey fungus or Hallimasch. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TL#F01.A05LY$F02.A067H$F27.A00TL$F33.A0C51,"Honey mushroom. Honey fungus. Hallimasch. Armillaria mellea (Fr.) Staude. Fungi classified under the species Armillaria mellea (Fr.) Staude, commonly known as Honey mushroom or Honey fungus or Hallimasch. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",69,Honey fungus | Hallimasch
A00TM,Gypsy mushroom,,Cortinarius caperatus (pers.) Fr.,"Fungi classified under the species Cortinarius caperatus (pers.) Fr., commonly known as Gypsy mushroom. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TM#F01.A05LZ$F02.A067H$F27.A00TM$F33.A0C51,"Gypsy mushroom. Cortinarius caperatus (pers.) Fr. Fungi classified under the species Cortinarius caperatus (pers.) Fr., commonly known as Gypsy mushroom. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",61,
A00TP,Cultivated fungi and similar-,,,"The group includes Cultivated fungi or similar vegetables sharing the same pesticide MRL, as defined by EU pesticide regulation.",A00TP#F01.A05MA$F02.A067H$F27.A00TP$F33.A0C51,"Cultivated fungi and similar-. The group includes Cultivated fungi or similar vegetables sharing the same pesticide MRL, as defined by EU pesticide regulation.",23,
A00TQ,Common mushrooms,,Agaricus bisporus (J.E. Lange) Imbach,"Fungi classified under the species Agaricus bisporus (J.E. Lange) Imbach, commonly known as Common mushrooms or Button mushrooms or Champignons mushrooms or Cremini mushroom or Common mushroom or Champignon. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",A00TQ#F01.A05MB$F02.A067H$F27.A00TQ$F33.A0C51,"Common mushrooms. Button mushrooms. Champignons mushrooms. Cremini mushroom. Common mushroom. Champignon. Agaricus bisporus (J.E. Lange) Imbach. Fungi classified under the species Agaricus bisporus (J.E. Lange) Imbach, commonly known as Common mushrooms or Button mushrooms or Champignons mushrooms or Cremini mushroom or Common mushroom or Champignon. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.",86,Button mushrooms | Champignons mushrooms | Cremini mushroom | Common mushroom | Champignon
